,content,engine,positions,pretty_url,pubdate,score,title,url,searchvalue,searchquery,ResponseCategory,country,contentDate,Date
55,"Germany Switzerland S. Korea France USA Spain China Iran Italy 0 10 ... blanket travel bans and border closures in response to coronavirus, ...",startpage,[6],https://www.euronews.com/2020/03/09/co[...]omes-most-affected-country-after-china,2020-03-14 00:00:00,0.16666666666666666,Coronavirus: Spain declares state of emergency as France shuts ...,https://www.euronews.com/2020/03/09/coronavirus-italy-becomes-most-affected-country-after-china,closes+boarders,germany+closes+boarders,boarders,germany,"Germany Switzerland S. Korea France USA Spain China Iran Italy 0 10 blanket travel bans and border closures in response to coronavirus,",2020-03-14 00:00:00
56,"The German government is not considering closing the country's borders at the moment due to the coronavirus outbreak, a spokesman for the ...",startpage,[7],https://www.reuters.com/article/us-chi[...]irus-at-moment-spokesman-idUSKCN20I14S,2020-02-24 00:00:00,0.14285714285714285,Germany not considering closing borders due to coronavirus at ...,https://www.reuters.com/article/us-china-health-germany-ministry/germany-not-considering-closing-borders-due-to-coronavirus-at-moment-spokesman-idUSKCN20I14S,closes+boarders,germany+closes+boarders,boarders,germany,"The German government is not considering closing the country's borders at the moment due to the coronavirus outbreak, a spokesman for the",2020-02-24 00:00:00
57,"An open border is a border that enables free movement of people (and often of goods) between ... A closed border is a border that prevents movement of people between ... Austria, Denmark, France, Germany, Norway, and Sweden temporarily imposed controls on their borders due to the 2010– European migrant crisis.",startpage,[8],https://en.wikipedia.org/wiki/Open_border,,0.125,Open border - Wikipedia,https://en.wikipedia.org/wiki/Open_border,closes+boarders,germany+closes+boarders,boarders,germany,"An open border is a border that enables free movement of people (and often of goods) between A closed border is a border that prevents movement of people between Austria, Denmark, France, Germany, Norway, and Sweden temporarily imposed controls on their borders due to the 2010– European migrant crisis.",
58,"Today, six countries - Germany, France, Austria, Denmark, Sweden and Norway - still have temporary border controls to prevent irregular ...",startpage,[9],https://euobserver.com/coronavirus/147576,2020-02-28 00:00:00,0.1111111111111111,[Coronavirus] EU experts: closing borders 'ineffective' for coronavirus,https://euobserver.com/coronavirus/147576,closes+boarders,germany+closes+boarders,boarders,germany,"Today, six countries - Germany, France, Austria, Denmark, Sweden and Norway - still have temporary border controls to prevent irregular",2020-02-28 00:00:00
59,"As the cases spread and multiply, calls for closing borders have grown ... In what experts argue is an abuse of the rules, Germany, France, ...",startpage,[10],https://www.nytimes.com/2020/02/26/wor[...]europe/coronavirus-european-union.html,2020-02-26 00:00:00,0.1,Coronavirus Nightmare Could Be the End for Europe's Borderless ...,https://www.nytimes.com/2020/02/26/world/europe/coronavirus-european-union.html,closes+boarders,germany+closes+boarders,boarders,germany,"As the cases spread and multiply, calls for closing borders have grown In what experts argue is an abuse of the rules, Germany, France,",2020-02-26 00:00:00
60,08:00 German carmaker Volkswagen announced it would stop production at the vast majority of its factories in Germany and the rest of Europe ...,startpage,[1],https://www.dw.com/en/coronavirus-germ[...]mplements-non-eu-travel-ban/a-52802039,2020-03-17 00:00:00,1.0,Coronavirus: Germany implements non-EU travel ban | DW | 17.03 ...,https://www.dw.com/en/coronavirus-germany-implements-non-eu-travel-ban/a-52802039,Travel+ban,germany+Travel+ban,boarders,germany,08:00 German carmaker Volkswagen announced it would stop production at the vast majority of its factories in Germany and the rest of Europe,2020-03-17 00:00:00
61,"The European Union is locking down its borders, imposing a 30-day entry ban on nonessential travel for non-EU citizens to slow the spread of ...",startpage,[2],https://www.npr.org/sections/goatsands[...]en-restrictions-to-control-coronavirus,2020-03-17 00:00:00,0.5,"EU Locks Down Borders As France, Germany Tighten Restrictions ...",https://www.npr.org/sections/goatsandsoda/2020/03/17/816994811/eu-to-shut-borders-as-france-germany-tighten-restrictions-to-control-coronavirus,Travel+ban,germany+Travel+ban,boarders,germany,"The European Union is locking down its borders, imposing a 30-day entry ban on nonessential travel for non-EU citizens to slow the spread of",2020-03-17 00:00:00
62,"4 hours ago ... Foreigners travelling from Italy, Germany, Spain, France, Iran and the US were banned from entering Cambodia from March 17. Cameroon. On ...",startpage,[3],https://www.aljazeera.com/news/2020/03[...]shutdowns-country-200318091505922.html,,0.3333333333333333,"Coronavirus: Travel restrictions, border shutdowns by country ...",https://www.aljazeera.com/news/2020/03/coronavirus-travel-restrictions-border-shutdowns-country-200318091505922.html,Travel+ban,germany+Travel+ban,boarders,germany,2020-03-25,2020-03-25 00:00:00
63,"On Sunday, Germany moved to impose travel restrictions along most of its borders, without having informed Austria or other neighboring ...",startpage,[4],https://www.latimes.com/world-nation/s[...]6/eu-european-union-coronavirus-travel,2020-03-16 00:00:00,0.25,"EU considers sweeping travel ban, but it might be too late - Los ...",https://www.latimes.com/world-nation/story/2020-03-16/eu-european-union-coronavirus-travel,Travel+ban,germany+Travel+ban,boarders,germany,"On Sunday, Germany moved to impose travel restrictions along most of its borders, without having informed Austria or other neighboring",2020-03-16 00:00:00
64,"COVID-19 Exceptional Travel Advisory Notice. As countries respond to the COVID-19 pandemic, including travel and border restrictions, the FCO advises British ...",startpage,[5],https://www.gov.uk/foreign-travel-advice/germany,,0.2,Germany travel advice - GOV.UK,https://www.gov.uk/foreign-travel-advice/germany,Travel+ban,germany+Travel+ban,boarders,germany,"COVID-19 Exceptional Travel Advisory Notice. As countries respond to the COVID-19 pandemic, including travel and border restrictions, the FCO advises British",
65,"Many airports are closing, preventing flights from leaving. Exit bans are becoming more frequent. New restrictions may be imposed with little warning. Your travel ...",startpage,[6],https://travel.gc.ca/destinations/germany,,0.16666666666666666,Travel advice and advisories for Germany,https://travel.gc.ca/destinations/germany,Travel+ban,germany+Travel+ban,boarders,germany,"Many airports are closing, preventing flights from leaving. Exit bans are becoming more frequent. New restrictions may be imposed with little warning. Your travel",
66,,startpage,[7],https://www.thelocal.de/tag/travel+ban,,0.14285714285714285,Travel ban - The Local Germany,https://www.thelocal.de/tag/travel+ban,Travel+ban,germany+Travel+ban,boarders,germany,,
67,"How effective are travel bans against coronavirus spread? ... Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Italy, ...",startpage,[8],https://edition.cnn.com/travel/article/coronavirus-travel-bans/index.html,2020-03-21 00:36:41,0.125,Which countries have travel bans because of coronavirus outbreak ...,https://edition.cnn.com/travel/article/coronavirus-travel-bans/index.html,Travel+ban,germany+Travel+ban,boarders,germany,"How effective are travel bans against coronavirus spread? Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Italy,",2020-03-21 00:36:41
68,The German government has banned all gatherings of more than two ... COVID-19 crisis page on travel.state.gov · CDC page on COVID-19 ...,startpage,[9],https://de.usembassy.gov/covid-19-information/,2020-03-24 00:36:41,0.1111111111111111,COVID-19 Information | U.S. Embassy & Consulates in Germany,https://de.usembassy.gov/covid-19-information/,Travel+ban,germany+Travel+ban,boarders,germany,The German government has banned all gatherings of more than two COVID-19 crisis page on travel.state.gov · CDC page on COVID-19,2020-03-24 00:36:41
69,ALERT - COVID-19 - Do not travel overseas at this time. ... measures including travel restrictions and quarantine requirements to prevent the spread of the virus.,startpage,[10],https://www.safetravel.govt.nz/germany,,0.1,Germany | SafeTravel,https://www.safetravel.govt.nz/germany,Travel+ban,germany+Travel+ban,boarders,germany,ALERT - COVID-19 - Do not travel overseas at this time. measures including travel restrictions and quarantine requirements to prevent the spread of the virus.,
70,4 Mar 2020 ...,startpage,[1],https://www.thelocal.de/20200304/coron[...]-are-doing-to-reduce-risks-for-workers,,1.0,Recruitment freeze and home office: How coronavirus is affecting ...,https://www.thelocal.de/20200304/coronavirus-what-employers-in-germany-are-doing-to-reduce-risks-for-workers,home+office,germany+home+office,HomeOffice,germany,2020-03-04,2020-03-04 00:00:00
71,This site uses cookies in order to provide you with the best possible service.,startpage,[2],https://www.auswaertiges-amt.de/en,,0.5,German Federal Foreign Office,https://www.auswaertiges-amt.de/en,home+office,germany+home+office,HomeOffice,germany,This site uses cookies in order to provide you with the best possible service.,
72,"Latest travel advice for Germany including safety and security, entry requirements, ... money anywhere other than banks or legitimate currency exchange offices.",startpage,[3],https://www.gov.uk/foreign-travel-advice/germany,,0.3333333333333333,Germany travel advice - GOV.UK,https://www.gov.uk/foreign-travel-advice/germany,home+office,germany+home+office,HomeOffice,germany,"Latest travel advice for Germany including safety and security, entry requirements, money anywhere other than banks or legitimate currency exchange offices.",
73,"Home office stock photo (picture-alliance/dpa/C. Klose). Germany's Labor Ministry wants to require employers to allow staff to work from home, ...",startpage,[4],https://www.dw.com/en/a-german-right-t[...]k-from-home-in-your-pajamas/a-46964872,2019-01-04 00:00:00,0.25,A German right to work from home in your pajamas? | News | DW ...,https://www.dw.com/en/a-german-right-to-work-from-home-in-your-pajamas/a-46964872,home+office,germany+home+office,HomeOffice,germany,"Home office stock photo (picture-alliance/dpa/C. Klose). Germany's Labor Ministry wants to require employers to allow staff to work from home,",2019-01-04 00:00:00
74,"The Federal Ministry of the Interior, Building and Community abbreviated BMI, is a cabinet-level ministry of the Federal Republic of Germany. Its main office is in ...",startpage,[5],"https://en.wikipedia.org/wiki/Federal_[...]f_the_Interior,_Building_and_Community",,0.2,"Federal Ministry of the Interior, Building and Community - Wikipedia","https://en.wikipedia.org/wiki/Federal_Ministry_of_the_Interior,_Building_and_Community",home+office,germany+home+office,HomeOffice,germany,"The Federal Ministry of the Interior, Building and Community abbreviated BMI, is a cabinet-level ministry of the Federal Republic of Germany. Its main office is in",
75,2 days per week from home office (give or... Send. See. Save ...,startpage,[6],https://www.totaljobs.com/jobs/work-from-home/in-germany,,0.16666666666666666,Work From Home Jobs in Germany in March 2020 - Totaljobs,https://www.totaljobs.com/jobs/work-from-home/in-germany,home+office,germany+home+office,HomeOffice,germany,2020-03-24,2020-03-24 00:00:00
76,But it's not always that simple. The following is a brief overview of the legal situation in Germany. When is a home office a home office? The ...,startpage,[7],https://www.lexology.com/library/detai[...]g=14e60044-b933-4c9a-9d09-6e605c58f3ea,2019-04-08 00:00:00,0.14285714285714285,Mistakes and Myths about Home Offices and Mobile Working in ...,https://www.lexology.com/library/detail.aspx?g=14e60044-b933-4c9a-9d09-6e605c58f3ea,home+office,germany+home+office,HomeOffice,germany,But it's not always that simple. The following is a brief overview of the legal situation in Germany. When is a home office a home office? The,2019-04-08 00:00:00
77,"The Head Office of the DFG employs 850 members of staff and is based in Bonn. It has an office in Berlin plus foreign offices in India, Japan, Latin America, ...",startpage,[8],https://www.dfg.de/en/dfg_profile/head_office/index.jsp,,0.125,"DFG Head Office - DFG, German Research Foundation",https://www.dfg.de/en/dfg_profile/head_office/index.jsp,home+office,germany+home+office,HomeOffice,germany,"The Head Office of the DFG employs 850 members of staff and is based in Bonn. It has an office in Berlin plus foreign offices in India, Japan, Latin America,",
78,,startpage,[9],https://www.bundesregierung.de/breg-en,,0.1111111111111111,Home Page,https://www.bundesregierung.de/breg-en,home+office,germany+home+office,HomeOffice,germany,,
79,"Pandora's office in Hamburg, Germany, is the regional head office for Pandora in Northern Europe. From here, we manage the distribution of our Pandora ...",startpage,[10],https://pandoragroup.com/careers/pandora-in-your-region/germany,,0.1,Germany - Pandora Group,https://pandoragroup.com/careers/pandora-in-your-region/germany,home+office,germany+home+office,HomeOffice,germany,"Pandora's office in Hamburg, Germany, is the regional head office for Pandora in Northern Europe. From here, we manage the distribution of our Pandora",
80,"BERLIN (Reuters) - Schools and kindergartens will be shut in most German states until after the Easter holiday in April, a measure designed to ...",startpage,[1],https://www.usnews.com/news/world/arti[...]hools-to-slow-coronavirus-epidemic-dpa,2020-03-13 00:00:00,1.0,Germany to Shut Most Schools to Slow Coronavirus Spread | World ...,https://www.usnews.com/news/world/articles/2020-03-13/german-state-of-bavaria-closes-schools-to-slow-coronavirus-epidemic-dpa,schools+shut,germany+schools+shut,schools,germany,"BERLIN (Reuters) - Schools and kindergartens will be shut in most German states until after the Easter holiday in April, a measure designed to",2020-03-13 00:00:00
81,"The number of children, youth and adults not attending schools or universities because of COVID-19 is soaring. Governments all around the world have closed ...",startpage,[2],https://en.unesco.org/themes/education[...]mergencies/coronavirus-school-closures,,0.5,School closures caused by Coronavirus (Covid-19) - Unesco,https://en.unesco.org/themes/education-emergencies/coronavirus-school-closures,schools+shut,germany+schools+shut,schools,germany,"The number of children, youth and adults not attending schools or universities because of COVID-19 is soaring. Governments all around the world have closed",
82,"School Closures in Germany German States Move To Close Educational and Daycare Facilities. First Saarland and Bavaria, followed by Berlin ...",startpage,[3],https://www.spiegel.de/international/g[...]a-e9c13296-002b-484b-88bc-e14ea295ff10,2020-03-17 00:00:00,0.3333333333333333,School Closures in Germany: German States Move To Close ...,https://www.spiegel.de/international/germany/germany-states-move-to-close-educational-and-daycare-facilities-a-e9c13296-002b-484b-88bc-e14ea295ff10,schools+shut,germany+schools+shut,schools,germany,"School Closures in Germany German States Move To Close Educational and Daycare Facilities. First Saarland and Bavaria, followed by Berlin",2020-03-17 00:00:00
83,9 Mar 2020 ...,startpage,[4],https://www.thelocal.de/20200309/coron[...]days-is-closing-schools-the-right-call,,0.25,'Corona-Holidays': Is closing German schools over virus fears the ...,https://www.thelocal.de/20200309/corona-holidays-is-closing-schools-the-right-call,schools+shut,germany+schools+shut,schools,germany,2020-03-09,2020-03-09 00:00:00
84,17 Mar 2020 ...,startpage,[5],https://www.theguardian.com/education/[...]reduce-coronavirus-transmission-expert,,0.2,Shutting schools would reduce coronavirus transmission – expert,https://www.theguardian.com/education/2020/mar/17/shutting-schools-would-reduce-coronavirus-transmission-expert,schools+shut,germany+schools+shut,schools,germany,2020-03-17,2020-03-17 00:00:00
85,"Schools and kindergartens will be shut in most German states until after the Easter holiday in April, a measure designed to slow the spread of ...",startpage,[6],https://www.reuters.com/article/us-hea[...]coronavirus-epidemic-dpa-idUSKBN2100SA,2020-03-13 00:00:00,0.16666666666666666,Germany to shut most schools to slow coronavirus spread - Reuters,https://www.reuters.com/article/us-health-coronavirus-germany-schools/german-state-of-bavaria-closes-schools-to-slow-coronavirus-epidemic-dpa-idUSKBN2100SA,schools+shut,germany+schools+shut,schools,germany,"Schools and kindergartens will be shut in most German states until after the Easter holiday in April, a measure designed to slow the spread of",2020-03-13 00:00:00
86,16 Mar 2020 ...,startpage,[7],https://www.bbc.com/news/world-europe-51905129,,0.14285714285714285,Germany closes borders to try to slow virus,https://www.bbc.com/news/world-europe-51905129,schools+shut,germany+schools+shut,schools,germany,2020-03-16,2020-03-16 00:00:00
87,"Schools across Europe may be shut to prevent the spread of COVID-19, but pupils are still going to class — virtually. Led by trailblazers like ...",startpage,[8],https://www.dw.com/en/coronavirus-send[...]estonias-ready-germany-lags/a-52830864,2020-03-20 00:36:43,0.125,"Coronavirus sends class home — Estonia's ready, Germany lags ...",https://www.dw.com/en/coronavirus-sends-class-home-estonias-ready-germany-lags/a-52830864,schools+shut,germany+schools+shut,schools,germany,"Schools across Europe may be shut to prevent the spread of COVID-19, but pupils are still going to class — virtually. Led by trailblazers like",2020-03-20 00:36:43
88,"Schools are closing across the country, sports matchups have been suspended and almost everything is canceled. But some say Germany's ...",startpage,[9],https://www.dw.com/en/coronavirus-is-g[...]enough-to-slow-the-outbreak/a-52770782,2020-03-14 00:00:00,0.1111111111111111,Coronavirus: Is Germany doing enough to slow the outbreak? | DW ...,https://www.dw.com/en/coronavirus-is-germany-doing-enough-to-slow-the-outbreak/a-52770782,schools+shut,germany+schools+shut,schools,germany,"Schools are closing across the country, sports matchups have been suspended and almost everything is canceled. But some say Germany's",2020-03-14 00:00:00
89,"Vogelweh Elementary School and all other Department of Defense schools in Germany, Belgium and the Netherlands will be closed starting ...",startpage,[10],https://www.stripes.com/news/europe/ne[...]ose-over-coronavirus-concerns-1.622290,2020-03-13 00:00:00,0.1,Nearly all military schools in Europe close over coronavirus ...,https://www.stripes.com/news/europe/nearly-all-military-schools-in-europe-close-over-coronavirus-concerns-1.622290,schools+shut,germany+schools+shut,schools,germany,"Vogelweh Elementary School and all other Department of Defense schools in Germany, Belgium and the Netherlands will be closed starting",2020-03-13 00:00:00
90,13 Mar 2020 ...,startpage,[1],https://www.thelocal.de/20200313/coron[...]aria-and-saarland-to-close-all-schools,,1.0,UPDATE: All German states announce school and Kita closures,https://www.thelocal.de/20200313/coronavirus-bavaria-and-saarland-to-close-all-schools,schools+closed,germany+schools+closed,schools,germany,2020-03-13,2020-03-13 00:00:00
91,12 Mar 2020 ...,startpage,[2],https://www.thelocal.de/20200312/schoo[...]ronavirus-is-affecting-life-in-germany,,0.5,School closures and no partying: How coronavirus is affecting life in ...,https://www.thelocal.de/20200312/school-closures-and-events-axed-how-coronavirus-is-affecting-life-in-germany,schools+closed,germany+schools+closed,schools,germany,2020-03-12,2020-03-12 00:00:00
92,"BERLIN (Reuters) - Schools and kindergartens will be shut in most German states until after the Easter holiday in April, a measure designed to ...",startpage,[3],https://www.usnews.com/news/world/arti[...]hools-to-slow-coronavirus-epidemic-dpa,2020-03-13 00:00:00,0.3333333333333333,Germany to Shut Most Schools to Slow Coronavirus Spread | World ...,https://www.usnews.com/news/world/articles/2020-03-13/german-state-of-bavaria-closes-schools-to-slow-coronavirus-epidemic-dpa,schools+closed,germany+schools+closed,schools,germany,"BERLIN (Reuters) - Schools and kindergartens will be shut in most German states until after the Easter holiday in April, a measure designed to",2020-03-13 00:00:00
93,14 Mar 2020 ...,startpage,[4],https://www.iamexpat.de/expat-info/ger[...]-are-parents-germany-allowed-stay-home,,0.25,Schools closed: Are parents in Germany allowed to stay home?,https://www.iamexpat.de/expat-info/german-expat-news/schools-closed-are-parents-germany-allowed-stay-home,schools+closed,germany+schools+closed,schools,germany,2020-03-14,2020-03-14 00:00:00
94,"The number of children, youth and adults not attending schools or universities because of COVID-19 is soaring. Governments all around the world have closed ...",startpage,[5],https://en.unesco.org/themes/education[...]mergencies/coronavirus-school-closures,,0.2,School closures caused by Coronavirus (Covid-19) - Unesco,https://en.unesco.org/themes/education-emergencies/coronavirus-school-closures,schools+closed,germany+schools+closed,schools,germany,"The number of children, youth and adults not attending schools or universities because of COVID-19 is soaring. Governments all around the world have closed",
95,13 Mar 2020 ...,startpage,[6],https://www.express.co.uk/news/world/1[...]ls-closed-latest-news-cases-death-toll,,0.16666666666666666,School closures: Scared Brits urge UK to follow Germany's lead on ...,https://www.express.co.uk/news/world/1254637/School-closures-Britain-UK-Germany-shutting-schools-closed-latest-news-cases-death-toll,schools+closed,germany+schools+closed,schools,germany,2020-03-13,2020-03-13 00:00:00
96,"Schools and kindergartens will be shut in most German states until after the Easter holiday in April, a measure designed to slow the spread of ...",startpage,[7],https://www.reuters.com/article/us-hea[...]coronavirus-epidemic-dpa-idUSKBN2100SA,2020-03-13 00:00:00,0.14285714285714285,Germany to shut most schools to slow coronavirus spread - Reuters,https://www.reuters.com/article/us-health-coronavirus-germany-schools/german-state-of-bavaria-closes-schools-to-slow-coronavirus-epidemic-dpa-idUSKBN2100SA,schools+closed,germany+schools+closed,schools,germany,"Schools and kindergartens will be shut in most German states until after the Easter holiday in April, a measure designed to slow the spread of",2020-03-13 00:00:00
97,"School Closures in Germany German States Move To Close Educational and Daycare Facilities. First Saarland and Bavaria, followed by Berlin ...",startpage,[8],https://www.spiegel.de/international/g[...]a-e9c13296-002b-484b-88bc-e14ea295ff10,2020-03-17 00:00:00,0.125,School Closures in Germany: German States Move To Close ...,https://www.spiegel.de/international/germany/germany-states-move-to-close-educational-and-daycare-facilities-a-e9c13296-002b-484b-88bc-e14ea295ff10,schools+closed,germany+schools+closed,schools,germany,"School Closures in Germany German States Move To Close Educational and Daycare Facilities. First Saarland and Bavaria, followed by Berlin",2020-03-17 00:00:00
98,12 Mar 2020 ...,startpage,[9],https://www.theguardian.com/world/2020[...]ontainment-measures-vary-across-europe,,0.1111111111111111,How do coronavirus containment measures vary across Europe?,https://www.theguardian.com/world/2020/mar/12/how-do-coronavirus-containment-measures-vary-across-europe,schools+closed,germany+schools+closed,schools,germany,2020-03-12,2020-03-12 00:00:00
99,"Vogelweh Elementary School and all other Department of Defense schools in Germany, Belgium and the Netherlands will be closed starting ...",startpage,[10],https://www.stripes.com/news/europe/ne[...]ose-over-coronavirus-concerns-1.622290,2020-03-13 00:00:00,0.1,Nearly all military schools in Europe close over coronavirus ...,https://www.stripes.com/news/europe/nearly-all-military-schools-in-europe-close-over-coronavirus-concerns-1.622290,schools+closed,germany+schools+closed,schools,germany,"Vogelweh Elementary School and all other Department of Defense schools in Germany, Belgium and the Netherlands will be closed starting",2020-03-13 00:00:00
100,"The closures in Germany will include restaurants, bars, clubs, theaters and museums. The world's stock markets continue downward trajectory.",startpage,[1],https://www.dw.com/en/coronavirus-late[...]-shops-bars-and-restaurants/a-52788195,2020-03-16 00:00:00,1.0,"Coronavirus latest: Germany to close all non-essential shops, bars ...",https://www.dw.com/en/coronavirus-latest-germany-to-close-all-non-essential-shops-bars-and-restaurants/a-52788195,bars+restaurants,germany+bars+restaurants,restaurants,germany,"The closures in Germany will include restaurants, bars, clubs, theaters and museums. The world's stock markets continue downward trajectory.",2020-03-16 00:00:00
101,"Top Germany Bars & Clubs: See reviews and photos of bars & clubs in Germany, Europe on Tripadvisor.",startpage,[2],https://www.tripadvisor.com/Attraction[...]187275-Activities-c20-t99-Germany.html,,0.5,THE 5 BEST Germany Bars & Clubs (with Photos) - Tripadvisor,https://www.tripadvisor.com/Attractions-g187275-Activities-c20-t99-Germany.html,bars+restaurants,germany+bars+restaurants,restaurants,germany,"Top Germany Bars & Clubs: See reviews and photos of bars & clubs in Germany, Europe on Tripadvisor.",
102,"Beer halls, bars and restaurants in Germany: readers' travel tips. Fancy some fruity beer with a side of pretzels or a glass of white wine with ...",startpage,[3],https://www.theguardian.com/travel/201[...]rhauses-restaurant-readers-travel-tips,2016-07-21 00:00:00,0.3333333333333333,"Beer halls, bars and restaurants in Germany: readers' travel tips ...",https://www.theguardian.com/travel/2016/jul/21/germany-bars-bierhauses-restaurant-readers-travel-tips,bars+restaurants,germany+bars+restaurants,restaurants,germany,"Beer halls, bars and restaurants in Germany: readers' travel tips. Fancy some fruity beer with a side of pretzels or a glass of white wine with",2016-07-21 00:00:00
103,The best restaurants and bars in Berlin. Browse the restaurants and bars in Berlin. Bar Immertreu. Bar. Bar Immertreu. Swanky classic lounge. Bar. Becketts Kopf.,startpage,[4],https://www.theworlds50best.com/discovery/sitemap/germany/berlin,,0.25,"The best Restaurants and Bars in Berlin, Germany 2020 | 50Best ...",https://www.theworlds50best.com/discovery/sitemap/germany/berlin,bars+restaurants,germany+bars+restaurants,restaurants,germany,The best restaurants and bars in Berlin. Browse the restaurants and bars in Berlin. Bar Immertreu. Bar. Bar Immertreu. Swanky classic lounge. Bar. Becketts Kopf.,
104,The German side posted the names of 86 food and drinks outlets during a virtual football night on Sunday on the clubs website.,startpage,[5],https://www.thejakartapost.com/news/20[...]e-70000-euros-to-bars-restaurants.html,2020-03-24 00:36:47,0.2,"Dortmund fans donate 70,000 euros to bars, restaurants - Sports ...",https://www.thejakartapost.com/news/2020/03/23/dortmund-fans-donate-70000-euros-to-bars-restaurants.html,bars+restaurants,germany+bars+restaurants,restaurants,germany,The German side posted the names of 86 food and drinks outlets during a virtual football night on Sunday on the clubs website.,2020-03-24 00:36:47
105,"Berlin and Cologne are to close all bars, clubs, cinemas, theaters and concert halls with immediate effect as Germany ramps up its efforts to slow the ... Restaurants and pubs that serve food could remain open, as in Berlin.",startpage,[6],https://www.reuters.com/article/us-hea[...]ens-coronavirus-response-idUSKBN2110LS,2020-03-14 00:00:00,0.16666666666666666,"Berlin joins Cologne in closing bars, clubs as Germany toughens ...",https://www.reuters.com/article/us-health-coronavirus-germany/berlin-joins-cologne-in-closing-bars-clubs-as-germany-toughens-coronavirus-response-idUSKBN2110LS,bars+restaurants,germany+bars+restaurants,restaurants,germany,"Berlin and Cologne are to close all bars, clubs, cinemas, theaters and concert halls with immediate effect as Germany ramps up its efforts to slow the Restaurants and pubs that serve food could remain open, as in Berlin.",2020-03-14 00:00:00
106,13 Mar 2020 ...,startpage,[7],https://www.thelocal.de/20200313/coron[...]closed-as-public-transport-scaled-back,,0.14285714285714285,"Coronavirus: Berlin orders closure of bars, museums and gyms",https://www.thelocal.de/20200313/coronavirus-berlin-bars-and-clubs-to-be-closed-as-public-transport-scaled-back,bars+restaurants,germany+bars+restaurants,restaurants,germany,2020-03-13,2020-03-13 00:00:00
107,"The German laws regulating alcohol use and sale are mostly focused on youth protection. ... stores generally check minors for their identity card. The law is less thoroughly enforced in many bars and restaurants, but this can vary by location.",startpage,[8],https://en.wikipedia.org/wiki/Alcohol_laws_in_Germany,,0.125,Alcohol laws in Germany - Wikipedia,https://en.wikipedia.org/wiki/Alcohol_laws_in_Germany,bars+restaurants,germany+bars+restaurants,restaurants,germany,"The German laws regulating alcohol use and sale are mostly focused on youth protection. stores generally check minors for their identity card. The law is less thoroughly enforced in many bars and restaurants, but this can vary by location.",
108,You don't have to be in Berlin or Munich to enjoy great German food and drinks. Here are the best German bars and restaurants around the ...,startpage,[9],https://edition.cnn.com/travel/article[...]est-german-bars-restaurants/index.html,2017-10-10 00:00:00,0.1111111111111111,Best German bars and restaurants around the world. | CNN Travel,https://edition.cnn.com/travel/article/best-german-bars-restaurants/index.html,bars+restaurants,germany+bars+restaurants,restaurants,germany,You don't have to be in Berlin or Munich to enjoy great German food and drinks. Here are the best German bars and restaurants around the,2017-10-10 00:00:00
109,From an illustrated travel guide to a handsome and historic city near the border of Germany and the Netherlands at Durant and Cheryl Imboden's ...,startpage,[10],https://europeforvisitors.com/germany/muenster/muenster-restaurants.htm,,0.1,Münster Restaurants and Bars - Europe for Visitors,https://europeforvisitors.com/germany/muenster/muenster-restaurants.htm,bars+restaurants,germany+bars+restaurants,restaurants,germany,From an illustrated travel guide to a handsome and historic city near the border of Germany and the Netherlands at Durant and Cheryl Imboden's,
110,"The closures in Germany will include restaurants, bars, clubs, theaters ... crackdown is in the offing, with non-essential shops set to be closed.",startpage,[1],https://www.dw.com/en/coronavirus-late[...]-shops-bars-and-restaurants/a-52788195,2020-03-16 00:00:00,1.0,"Coronavirus latest: Germany to close all non-essential shops, bars ...",https://www.dw.com/en/coronavirus-latest-germany-to-close-all-non-essential-shops-bars-and-restaurants/a-52788195,closed+bars+restaurants,germany+closed+bars+restaurants,restaurants,germany,"The closures in Germany will include restaurants, bars, clubs, theaters crackdown is in the offing, with non-essential shops set to be closed.",2020-03-16 00:00:00
111,"In yet another attempt to slow down the spread of the Coronavirus, Germany announced new measures. Chancellor Angela Merkel said the ...",startpage,[2],https://berlinspectator.com/2020/03/16[...]churches-bars-pubs-brothels-casinos-1/,2020-03-16 00:00:00,0.5,"Corona Crisis: Germany Closes Shops, Churches, Bars, Pubs ...",https://berlinspectator.com/2020/03/16/corona-crisis-germany-closes-shops-churches-bars-pubs-brothels-casinos-1/,closed+bars+restaurants,germany+closed+bars+restaurants,restaurants,germany,"In yet another attempt to slow down the spread of the Coronavirus, Germany announced new measures. Chancellor Angela Merkel said the",2020-03-16 00:00:00
112,13 Mar 2020 ...,startpage,[3],https://www.thelocal.de/20200313/coron[...]closed-as-public-transport-scaled-back,,0.3333333333333333,"Coronavirus: Berlin orders closure of bars, museums and gyms",https://www.thelocal.de/20200313/coronavirus-berlin-bars-and-clubs-to-be-closed-as-public-transport-scaled-back,closed+bars+restaurants,germany+closed+bars+restaurants,restaurants,germany,2020-03-13,2020-03-13 00:00:00
113,15 Mar 2020 ...,startpage,[4],https://www.bbc.co.uk/news/live/world-51903319,,0.25,"Coronavirus updates: France 'at war', says Macron - BBC News",https://www.bbc.co.uk/news/live/world-51903319,closed+bars+restaurants,germany+closed+bars+restaurants,restaurants,germany,2020-03-15,2020-03-15 00:00:00
